s,key,genre,type,sms,smb,scel,bfid,jbj,jguit,jmand,dbs,pguit,♫ex1,♫ex2,tab1,tab2,lesson,extra1,extra2,mtuning,ftuning,chord prog.,
Flannery's Dream,,old time,,*,*,,y,,,,,,hartford,,,,,,,,,,
Flop Eared Mule,G/D,bluegrass,,y,y,,y,,,,,,,,,,,,,,,,
Forked Deer,D/A,bluegrass/old-time,,y,y,y,y,y,y,y,,,grooveshark,group,mando,,iwalsh,haynie,molsky otune,,,,
Frieze Britches,D,irish,jig,y,,,y,,,,,,fiddle,clawhammer,,,,fiddle,,,,,
Georgia Railroad,,,,,,,,,,,,,blakes,,,,,,,,,,
Georgia Stomp,?,bluegrass,stomp,*,*,,,,,,,,johnson mt boys,,,,david vid,,,,,,
Girl I Left Behind Me,G,old time,,y,y,y,y,,,,,,grooveshark,,cafe,,,,,,,,
Girl with the Blue Dress On,C,old time,,y,y,,*,,,,,,hartford,,,,,,,,,,
Gold Mountain Blues,Dm,old time,,y,,,y,,,,,,,,,,,,,,,,
Gold Rush,A,bluegrass,,y,y,,y,,y,y,,,nice pace,tony rice unit,mandozine,,,berline/monroe,,,,,
Golden Eagle Hornpipe,G,irish/bluegrass,hornpipe,y,y,,y,,y,y,,,,angor/law duet,,,iwalsh,,,,,,
Golden Slippers,D,bluegrass,,y,y,,y,,,,,,matt raum,,cafe,raum tab,fiddle,yt fiddle,,,,,
Goodbye Liza Jane,A,bluegrass,,,,,y,,,,,,,,,,,,,,,,
Georgia Horseshoe,A,old time,,,,,~,,,,,,,,,,,,,,AEAE,,
Green Castle Hornpipe,D,,hornpipe,y,y,,y,,,,,,octave mando,,,,,,,,,,
Grey Eagle,A,bluegrass,reel,y,y,,*,,y,y,,,O'Connor,old time,,,,,,,,,
Hangman's Reel / Reel Du Pendu,A,,reel,,,,~,,y,,,,,,,,flesson,tuning: AEAC#,,,,,
Harvest Home,D,irish,hornpipe,y,y,y,y,,,,,,ian walsh,,,,,,,,,,
High on the Mountain,G ,bluegrass,,y,y,,,,y,,,,del band,,,,,,,,,,
High Road,Em,bluegrass,,y,y,,y,,y,,,,bryan sutton,tim o'brien,banjo3 finger,,guitar,,,,,,
Honky Tonk Swing,C,bluegrass,,y,y,,*,,,,,,mike compton,2 mando players,,,,,,,,,
Hop the Fence,D,bluegrass,,y,y,,y,,,,,,mando and fiddle,,,,,,,,,,
Humours of Tulla,G,irish,reel,,,y,y,,,,,,group,banjo,,,,,,,,,
Hut on Staffin Island,?,scottish,,y,y,y,y,,,,,,cunningham,,,,,,,,,,
I Get My Whiskey From Rockingham,,old time,,,,*,*,,,,,,molsky,,,,,,,,,,
I Remembered When I Knew,,,,y,y,,,,,,,,joe walsh,,,,,,,,,,
Independence,G,irish,hornpipe,*,*,,y,,,,,,fiddle,,,,,,,,,,
Indian Ate a Woodchuck,D,old time,reel,,,,y,,,,,,jam,jam2,sheet,,,,,,,,
Irish Washerwoman,G,irish,jig,y,*,,y,,,,,,,,mando,,fiddle,mando lesson,,,,,
Itzikel / Frailach,?,,,,,,y,,,,,,burke,group,guitar,,,,,,,,
Jean's Reel,D,irish/scottish,reel,,,,y,,,,,,,,,,iwalsh,,,,,,
Jenny Baker,D,old time,,y,y,,y,,,,,,jimmy johnson,,,,,,,,,,
Jenny Lynn,A,bluegrass,,y,y,,*,,,,,,monroe,mandoliniana,compton,,,,,,,,
Jenny Run Away in the Mud in the Night,A,old time,,,,,y,,,,,,,,,,,,,,AEAE,,
Jerusalem Ridge,Am,bluegrass,,y,y,,y,y,y,y,y,,baker,o'brien&thile,mcreyn,mandolesson,fiddle,fiddle2,flamekeeper,mcafe,mtab,chords+geet,monroe recording
John Brown's March,G,old time,,y,y,*,?,y,,,,,string band,,,,,,,,,,
John Leary's Slide,D,irish,slide,*,,,y,,,,,,,,the session,,,,,,,,
Johnny Don't Get Drunk,D,old time,,*,*,*,*,y,,,,,Adam Steffey,group,,,,,,,,,
Jolie Blon,G,cajun,waltz,,,,y,,,,,,,,,,,,,,,,
June Apple,A,bluegrass,,y,y,,y,y,y,y,,,haas,gs list,,,fiddle,clawham,,,,,
Katy Hill,G,bluegrass,,~,~,,y,,,,,,,,mando (2nd pos),,walsh,,,,,,
Katy Did,C,old time,reel,,,,y,,,,,,stokes,,,,molsky peghead,,,,,,
Kelsterne Gardens,Dm,english,country dance,y,,,y,,,,,,dancing,,sheet,,,,,,,,
Kentucky Mandolin,Gm,bluegrass,,y,y,,*,,,,,,monroe,,,,,,,,,,
Kentucky Waltz,D,bluegrass,waltz,y,y,,y,,,,,,doc&dawg,del,,,fiddle,,,,,,
Kesh Jig,G,irish,jig,y,y,y,y,,,,,,BRIMS,grooveshark,mandozine,,,,,,,,
Kid on the Mountain,Em,irish,slip jig,~,y,,,,,,,,,,,,,,,,,,
King of the Fairies,Em,irish,hornpipe,y,y,y,y,,,,,,mando,,,,,,,,,,
Kitchen Girl,Am,bluegrass/old time,?,y,y,,y,y,,y,,,grooveshark,,,,,,,,,,
La Partida,Bm,venezuelan,waltz,,,,y,,,,,,accordion,guitar,mando,guitar,fiddle,mandos,,,,,
Lad O'Beirn's Hornpipe,G,irish,hornpipe,,,,y,,,,,,info,first song,,,,,,,,,
Lark in the Morning,D,irish,jig,y,*,,y,,,,,,ian walsh,,the session,mando,,,,,,,
Last Night's Fun,A,irish,reel,y,~,,y,,,,,,ultimate pickin,,,,,,,,,,
Leather Britches,G,bluegrass,,y,y,,y,,y,y,,,ian walsh,sam bush,mandozine,,bush book,haynie,,,,,
Liberty,D,old time,,y,y,,y,,y,,,,,,,,fiddle,,,,,,
Lighthousekeeper's Waltz,G,irish,waltz,*,*,y,y,,,,,,,,,,,,,,,,
Lilting Banshee,Am,irish,jig,y,y,*,y,,,,,,,mandolin,,,fiddle,,,,,,
Little Rabbit,A,old time,,y,y,,y,,,,,,grooveshark,yt fiddle,,,,,,,,,
Lonesome Moonlight Waltz,F,bluegrass,waltz,y,y,*,y,,y,,,,pikelny,,,,,,,,,,
Long March Through Texas,,,,,,,,,,,,,,,,,,,,,,,
Lost Girl,G,old time,,y,y,,*,,,,,,ephemeral string,fiddler+molsky,,,,,,,,,
Lost Indian,D,bluegrass,,y,y,,y,,,,,,baker,random jam,,,,,,,,,
Lost Indian,A,old time,,,,,y,,,,,,,,,,,,,,AEAC#,,
Lucy Farr's,,,,y,y,~,,,,,,,the press gang,,,,,,,,,,
Maid Behind the Bar,D,irish,reel,y,y,,y,,,,,,grooveshark,fleck & o'connor,,,,,,,,,
Maiden's Prayer,A,bluegrass,,y,y,,y,,y,,,,,,,,iwalsh,,,,,,
Man From Bundoran,Em,irish,reel,,,y,y,,,,,,,,,,,,,,,,
Mason's Apron,A,irish,reel,y,,,y,,,,,,kevin burke,,cafe,mando,,,,,,,
Maury River Blues,Am,bluegrass,,y,y,,y,,,,,,yt,,,,,,,,,,
Maydelle's Reel,E,bluegrass,reel,y,y,,y,,y,,,,jam,kelly lancaster,,,,old town album,,,,,
McCoury Blues,E,bluegrass,,y,y,,,,,,,,mccoury,,,,,,,,,,
Methodist Preacher,G,bluegrass,,y,y,,y,,,,,,bill monroe,all star jam,,,,fiddle,,,,,
Micko Russell's Slide,D,irish,slide,*,,,y,,,,,,info,,,,,,,,,,
Midnight on the Water,D,old time,waltz,,,*,y,,y,,,,ungar live,,,,,,,,,,
Milford's Reel,D,bluegrass,reel,y,y,,,,,,,,pikelny et al,,cafe,,,,,,,,
Miller of Droghan,A,irish,reel,,,,y,,,,,,,,,,kburke,,,,,,
Miller's Reel,A,bluegrass,reel,y,y,,y,,~,,,,yt fid+mando,,,,,,,,,,
Misip,D,old time,reel,y,y,,y,,,,,,,,,,,,,,,,
Miss Macleod's Reel,A/D,scottish,reel,y,,,y,,,,,,tons of info,baldassari (in G),mando (in A),,fiddle (in A),,,,,,
Mississippi Sawyer,D,old time,,,,,*,y,,,,,mcgee,,,,duncan,,,,,,
Mississippi Waltz,F,bluegrass,,y,y,,~,,,,,,mandolin,thile/daves,kenny baker,cafe,,,,,,,
Moldavian Dance Tune,D/Dm,traditional,,y,y,,y,,,,,,,,,,,,,,,,
Mon Chéré Bébé Creole,?,cajun,waltz,,,,y,,,,,,mcgee,,,,,,,,,,
Money's All Gone,?,bluegrass,,y,~,,,,,,,,what's doin cd,,,,,what's doin cd,,,,,
Monroe's Hornpipe,A,bluegrass,hornpipe,y,y,,y,,y,y,,,,,,,,,,,,,
